term,odds_ratio,conf.low,conf.high,ci_label,p_value_label
waiting_days_group1 day,6.11,5.57,6.71,5.57–6.71,<0.001
waiting_days_group2-3 days,7.5,6.93,8.11,6.93–8.11,<0.001
waiting_days_group4-7 days,8.57,7.98,9.2,7.98–9.2,<0.001
waiting_days_group8-14 days,10.86,10.1,11.67,10.1–11.67,<0.001
waiting_days_group15-30 days,12.25,11.44,13.12,11.44–13.12,<0.001
waiting_days_group31+ days,12.86,11.93,13.87,11.93–13.87,<0.001
age_groupChild,1.55,1.46,1.64,1.46–1.64,<0.001
age_groupTeen,2.25,2.08,2.44,2.08–2.44,<0.001
age_group18-25,1.95,1.83,2.09,1.83–2.09,<0.001
age_group26-34,1.63,1.53,1.74,1.53–1.74,<0.001
age_group35-49,1.37,1.3,1.45,1.3–1.45,<0.001
age_group65+,0.9,0.84,0.96,0.84–0.96,0.001
sms_statusSMS received,0.76,0.73,0.79,0.73–0.79,<0.001
genderM,1.04,1,1.08,1–1.08,0.046
scholarship,1.26,1.19,1.34,1.19–1.34,<0.001
diabetes,1.16,1.07,1.24,1.07–1.24,<0.001
alcoholism,1.39,1.25,1.54,1.25–1.54,<0.001
handicap_status,1.16,1.02,1.32,1.02–1.32,0.02
appointment_weekdayFriday,1,0.94,1.06,0.94–1.06,0.916
appointment_weekdaySaturday,1.43,0.55,3.36,0.55–3.36,0.434
appointment_weekdayThursday,0.91,0.86,0.97,0.86–0.97,0.003
appointment_weekdayTuesday,1.01,0.95,1.06,0.95–1.06,0.823
appointment_weekdayWednesday,0.95,0.9,1,0.9–1,0.056
scheduled_weekdayFriday,1.07,1.01,1.14,1.01–1.14,0.023
scheduled_weekdaySaturday,0.17,0.01,0.86,0.01–0.86,0.089
scheduled_weekdayThursday,1.05,0.99,1.11,0.99–1.11,0.126
scheduled_weekdayTuesday,1.05,0.99,1.1,0.99–1.1,0.093
scheduled_weekdayWednesday,1.06,1,1.12,1–1.12,0.05
