term,odds_ratio,conf.low,conf.high,ci_label,p_value_label
waiting_days_group1 day,6.11,5.57,6.71,5.57–6.71,<0.001
waiting_days_group2-3 days,7.5,6.93,8.11,6.93–8.11,<0.001
waiting_days_group4-7 days,8.57,7.98,9.2,7.98–9.2,<0.001
waiting_days_group8-14 days,10.86,10.1,11.67,10.1–11.67,<0.001
waiting_days_group15-30 days,12.25,11.44,13.12,11.44–13.12,<0.001
waiting_days_group31+ days,12.86,11.93,13.87,11.93–13.87,<0.001
age_groupChild,1.55,1.46,1.64,1.46–1.64,<0.001
age_groupTeen,2.25,2.08,2.44,2.08–2.44,<0.001
age_group18-25,1.95,1.83,2.09,1.83–2.09,<0.001
age_group26-34,1.63,1.53,1.74,1.53–1.74,<0.001
age_group35-49,1.37,1.3,1.45,1.3–1.45,<0.001
age_group65+,0.9,0.84,0.96,0.84–0.96,0.001
sms_statusSMS received,0.76,0.73,0.79,0.73–0.79,<0.001
