risk_decile,mean_predicted_prob,observed_no_show_rate,total_appointments
1,0.03187649729810328,0.03075531433740389,2211
2,0.0447788492883088,0.042514699231117246,2211
3,0.05290376461804743,0.0438715513342378,2211
4,0.11405923400733826,0.13432835820895522,2211
5,0.20208195743753132,0.21076436001809154,2211
6,0.23746944550755839,0.2307692307692311,2210
7,0.27216322785821284,0.2710407239819004,2210
8,0.30391344511323043,0.3058823529411764,2210
9,0.3430971393961498,0.3434389140271494,2210
10,0.4091285531430639,0.4058823529411763,2210
