term,estimate,std.error,statistic,p.value
(Intercept),-3.4660146794513333,0.04235880515261811,-81.82512861170981,0
waiting_days_group31+ days,2.554211328830088,0.038311020206739495,66.67040749754723,0
waiting_days_group15-30 days,2.505642684824341,0.03498583712249445,71.61877179189507,0
waiting_days_group8-14 days,2.3846463800545217,0.03704143054457418,64.37781546220073,0
waiting_days_group4-7 days,2.148125585672786,0.03634005526888522,59.11178642350707,0
waiting_days_group2-3 days,2.0145745134634354,0.03994458820995723,50.434229109445425,0
waiting_days_group1 day,1.8104645552290275,0.0472459716621239,38.319977164961955,0
scheduled_weekdaySaturday,-1.7733889576469712,1.0412684107463903,-1.703104539948341,0.08854850649181978
age_groupTeen,0.8121044646747693,0.04068282566430239,19.961850029196956,1.1825245139296171e-88
age_group18-25,0.6687298139109399,0.03387075376279374,19.743576378436682,9.109613900900084e-87
age_group26-34,0.49033982189253855,0.03272073119856307,14.985600991522823,9.119687817196914e-51
age_groupChild,0.43671744819611846,0.03015071099363419,14.484482581134618,1.5186189760397038e-47
appointment_weekdaySaturday,0.35660745651419024,0.45628602565432824,0.781543673187896,0.43448280076517914
alcoholism,0.3270588177546743,0.05335234193354659,6.130167972046005,8.77863401494582e-10
age_group35-49,0.3172144315821257,0.028879960350887596,10.983894289604745,4.567978329105589e-28
sms_statusSMS received,-0.2776704734469265,0.020752240389698324,-13.380264888641406,7.886580810521506e-41
scholarship,0.23202728777006068,0.029219963007261228,7.940711208717183,2.0102522790431814e-15
handicap_status,0.1503457150508986,0.06461662763715864,2.326734163459195,0.019979418368653037
diabetes,0.1445449306736545,0.03733288268023215,3.8717859510535835,1.080408112052322e-4
age_group65+,-0.11047755179105555,0.03391332974353782,-3.2576439006879596,0.0011234128326355253
appointment_weekdayThursday,-0.09373822221501378,0.03113083251471783,-3.0111055388800425,0.0026029836264755174
scheduled_weekdayFriday,0.06834297935732445,0.02996469700889369,2.2807832609500394,0.02256127538065267
scheduled_weekdayWednesday,0.05447506083957702,0.027756199155614523,1.9626268183969924,0.049689552173420304
appointment_weekdayWednesday,-0.05260994298251484,0.02747431852279303,-1.9148770856270372,0.055508180722326446
scheduled_weekdayThursday,0.04696887447837277,0.030673755616808643,1.5312397694345166,0.12571014522252513
scheduled_weekdayTuesday,0.045366031206683276,0.027038861487291174,1.6778084842073049,0.09338449254083128
genderM,0.03858918306283554,0.019319082390629322,1.9974645939474402,0.04577473696176977
appointment_weekdayTuesday,0.006139608377304998,0.027375044618661113,0.22427756603982774,0.8225413313065233
appointment_weekdayFriday,-0.0031753541585554557,0.02995231924386275,-0.10601363229013018,0.9155715361368115
