term,GVIF,Df,GVIF^(1/(2*Df))
waiting_days_group,1.7235145590455019,6,1.0464084700895595
age_group,1.2443726155289905,6,1.018386273800445
sms_status,1.3521222117808396,1,1.162807899775728
gender,1.075200667339423,1,1.0369188335349218
scholarship,1.0417268956041024,1,1.0206502317660553
diabetes,1.1193059500684102,1,1.057972565839214
alcoholism,1.0381334008632233,1,1.0188883161874138
handicap_status,1.0109251448710694,1,1.0054477335351995
appointment_weekday,1.2800090109515994,5,1.0249939516782642
scheduled_weekday,1.213812386362895,5,1.0195655588796577
