neighbourhood,total_appointments,total_no_shows,no_show_rate,no_show_percent
SANTOS DUMONT,1276,369,0.28918495297805646,28.918495297805645
SANTA CECÍLIA,448,123,0.2745535714285715,27.45535714285715
SANTA CLARA,506,134,0.2648221343873519,26.48221343873519
ITARARÉ,3514,923,0.26266363118952846,26.266363118952846
JESUS DE NAZARETH,2853,696,0.24395373291272407,24.395373291272406
HORTO,175,42,0.23999999999999988,23.99999999999999
ILHA DO PRÍNCIPE,2266,532,0.2347749338040595,23.47749338040595
CARATOÍRA,2565,591,0.2304093567251459,23.04093567251459
ANDORINHAS,2262,521,0.23032714412024782,23.03271441202478
PRAIA DO SUÁ,1288,294,0.22826086956521738,22.82608695652174
GURIGICA,2018,456,0.22596630327056494,22.596630327056495
BENTO FERREIRA,858,193,0.22494172494172507,22.494172494172506
PARQUE MOSCOSO,802,179,0.22319201995012483,22.319201995012484
MARUÍPE,1902,424,0.22292323869610936,22.292323869610936
DO MOSCOSO,413,92,0.22276029055690078,22.276029055690078
ENSEADA DO SUÁ,235,52,0.22127659574468092,22.12765957446809
ARIOVALDO FAVALESSA,282,62,0.2198581560283686,21.985815602836862
ILHA DAS CAIEIRAS,1071,235,0.21942110177404295,21.942110177404295
FONTE GRANDE,682,149,0.218475073313783,21.8475073313783
CRUZAMENTO,1398,304,0.21745350500715296,21.745350500715297
SÃO JOSÉ,1977,428,0.2164896307536675,21.64896307536675
BARRO VERMELHO,423,91,0.21513002364066186,21.513002364066185
NAZARETH,135,29,0.21481481481481485,21.481481481481485
ROMÃO,2214,474,0.2140921409214094,21.409214092140942
CENTRO,3334,703,0.21085782843431267,21.085782843431268
UNIVERSITÁRIO,152,32,0.21052631578947378,21.052631578947377
SÃO PEDRO,2448,515,0.21037581699346422,21.037581699346422
MARIA ORTIZ,5805,1219,0.2099913867355726,20.999138673557262
SANTA HELENA,178,37,0.20786516853932585,20.786516853932586
SANTOS REIS,547,112,0.20475319926873858,20.47531992687386
RESISTÊNCIA,4430,905,0.20428893905191778,20.428893905191778
SANTA TEREZA,1332,272,0.20420420420420435,20.420420420420434
GRANDE VITÓRIA,1071,217,0.20261437908496743,20.26143790849674
MONTE BELO,824,166,0.20145631067961184,20.145631067961183
BELA VISTA,1907,384,0.2013633980073413,20.13633980073413
SÃO BENEDITO,1439,287,0.1994440583738707,19.94440583738707
BONFIM,2773,550,0.1983411467724481,19.83411467724481
SÃO CRISTÓVÃO,1836,363,0.19771241830065345,19.771241830065346
SANTO ANDRÉ,2571,508,0.19758848697005088,19.75884869700509
ESTRELINHA,538,106,0.19702602230483268,19.70260223048327
SANTA LÚCIA,438,86,0.19634703196347028,19.63470319634703
GOIABEIRAS,700,137,0.19571428571428587,19.571428571428587
PIEDADE,452,88,0.19469026548672574,19.469026548672574
DA PENHA,2217,429,0.19350473612990593,19.350473612990594
SEGURANÇA DO LAR,145,28,0.19310344827586204,19.310344827586203
JUCUTUQUARA,694,133,0.19164265129682995,19.164265129682995
ILHA DE SANTA MARIA,1885,361,0.19151193633952243,19.151193633952243
INHANGUETÁ,1057,202,0.1911069063386945,19.11069063386945
JARDIM CAMBURI,7717,1465,0.1898406116366458,18.98406116366458
CONQUISTA,849,160,0.18845700824499387,18.845700824499385
FRADINHOS,258,48,0.186046511627907,18.6046511627907
BOA VISTA,312,58,0.18589743589743574,18.589743589743573
ANTÔNIO HONÓRIO,271,50,0.1845018450184502,18.450184501845023
PRAIA DO CANTO,1035,190,0.18357487922705312,18.357487922705314
FORTE SÃO JOÃO,1889,346,0.18316569613552142,18.31656961355214
TABUAZEIRO,3131,572,0.18268923666560183,18.268923666560184
JOANA D´ARC,1427,258,0.18079887876664333,18.079887876664333
COMDUSA,310,56,0.18064516129032257,18.064516129032256
SANTA LUÍZA,428,77,0.17990654205607481,17.99065420560748
JABOUR,2509,451,0.17975288959744884,17.975288959744883
NOVA PALESTINA,2264,402,0.17756183745583065,17.756183745583066
REDENÇÃO,1553,275,0.17707662588538267,17.707662588538266
SANTO ANTÔNIO,2744,482,0.17565597667638472,17.56559766763847
CONSOLAÇÃO,1375,236,0.1716363636363638,17.163636363636382
REPÚBLICA,835,143,0.17125748502993998,17.125748502994
MATA DA PRAIA,644,110,0.1708074534161491,17.08074534161491
VILA RUBIM,851,141,0.16568742655699184,16.568742655699182
DO QUADRO,849,140,0.16489988221436985,16.489988221436985
JARDIM DA PENHA,3877,631,0.16275470724787292,16.27547072478729
SANTA MARTHA,3131,496,0.1584158415841583,15.84158415841583
DO CABRAL,560,88,0.15714285714285708,15.714285714285708
DE LOURDES,305,47,0.15409836065573776,15.409836065573776
SOLON BORGES,469,69,0.14712153518123675,14.712153518123674
MÁRIO CYPRESTE,371,54,0.14555256064690036,14.555256064690036
